Record_ID,Species,New_CODE,Field_Code,Type_of_Record,Site,Date,Boat_name,Fishermen,Fisherman_cooperative,Catch_date,LaNAing_site,Sale_price_pkg,Location,Fish_Market_name,Address,Phone_number,Catch_site,Lat,Long,Fisherman,Pesca_Objetivo,Captura_total_Mero_(kg),Weight,Weight_notes,Total_Length,StaNAard_Length,Head_Length,Head_width,Otoliths,Tissue,Gonads,Stomach,Sex,Scales,Pictures,Whole_Fish,Species_identification?,Collector,Analyzed?,Comments
GSB-013,Giant Sea Bass,SG-TJ-170523-01,TJ-02,Fish Market,Tijuana,23/05/2017,NA,NA,NA,NA,NA,85,Tijuana,Pescaderia Sinaloa,"Calle 6ta 8524, Centro, 22000 Tijuana, B.C., Mexico",664 685 3155,Bahía Tortugas,27.607747,-114.871167,TBD,NA,NA,2,NA,53,NA,15,NA,YES,YES,YES,NA,NA,YES,NO,YES,Arturo,Arturo,YES,EN LAS FOTOS Y FRASCOS ESTÁ COMO TJ-14. Enfrascos se cambió a TJ-02
GSB-014,Giant Sea Bass,SG-TJ-170523-02,TJ-03,Fish Market,Tijuana,23/05/2017,NA,NA,NA,NA,NA,85,Tijuana,Pescaderia Sinaloa,"Calle 6ta 8524, Centro, 22000 Tijuana, B.C., Mexico",664 685 3155,Bahía Tortugas,27.607747,-114.871167,TBD,NA,NA,2.4,NA,55,NA,16,NA,YES,YES,NO,NA,NA,YES,NO,YES,Arturo,Arturo,YES,EN LAS FOTOS Y FRASCOS ESTÁ COMO TJ-15. En los frascos se cambió a TJ-03
GSB-015,Giant Sea Bass,SG-TJ-170523-03,TJ-04,Fish Market,Tijuana,23/05/2017,NA,NA,NA,NA,NA,85,Tijuana,Pescaderia Sinaloa,"Calle 6ta 8524, Centro, 22000 Tijuana, B.C., Mexico",664 685 3155,Bahía Tortugas,27.607747,-114.871167,TBD,NA,NA,2.4,NA,54,NA,15,NA,YES,YES,NO,NA,NA,YES,NO,YES,Arturo,Arturo,YES,EN LAS FOTOS Y FRASCOS ESTÁ COMO TJ-16. En los frascos se pasó a TJ-04
GSB-016,Giant Sea Bass,SG-TJ-170523-04,TJ-05,Fish Market,Tijuana,23/05/2017,NA,NA,NA,NA,NA,85,Tijuana,Pescaderia Sinaloa,"Calle 6ta 8524, Centro, 22000 Tijuana, B.C., Mexico",664 685 3155,Bahía Tortugas,27.607747,-114.871167,TBD,NA,NA,3.1,NA,57,NA,16,NA,YES,YES,NO,NA,NA,YES,YES,YES,Arturo,Arturo,YES,EN LAS FOTOS Y FRASCOS ESTÁ COMO TJ-17. En los frascos se pasó a TJ-05
GSB-017,Giant Sea Bass,SG-TJ-170523-05,TJ-06,Fish Market,Tijuana,23/05/2017,NA,NA,NA,NA,NA,85,Tijuana,Pescaderia Sinaloa,"Calle 6ta 8524, Centro, 22000 Tijuana, B.C., Mexico",664 685 3155,Bahía Tortugas,27.607747,-114.871167,TBD,NA,NA,2.3,NA,53,NA,16,NA,YES,YES,YES,NA,NA,YES,YES,YES,Arturo,Arturo,YES,EN LAS FOTOS Y FRASCOS ESTÁ COMO TJ-18. En los frascos se cambió a TJ-06
GSB-018,Giant Sea Bass,SG-TJ-170523-06,TJ-07,Fish Market,Tijuana,23/05/2017,NA,NA,NA,NA,NA,85,Tijuana,Pescaderia Sinaloa,"Calle 6ta 8524, Centro, 22000 Tijuana, B.C., Mexico",664 685 3155,Bahía Tortugas,27.607747,-114.871167,TBD,NA,NA,2.4,NA,53,NA,13.5,NA,YES,YES,YES,NA,NA,YES,NO,YES,Arturo,Arturo,YES,EN LAS FOTOS Y FRASCOS ESTÁ COMO TJ-19. En los frascos se pasó a TJ-07
GSB-019,Giant Sea Bass,SG-TJ-170523-07,TJ-08,Fish Market,Tijuana,23/05/2017,NA,NA,NA,NA,NA,85,Tijuana,Pescaderia Sinaloa,"Calle 6ta 8524, Centro, 22000 Tijuana, B.C., Mexico",664 685 3155,Bahía Tortugas,27.607747,-114.871167,TBD,NA,NA,4.45,NA,66,NA,18,NA,YES,YES,NO,NA,NA,YES,YES,YES,Arturo,Arturo,YES,EN LAS FOTOS Y FRASCOS ESTÁ COMO TJ-20. En los frascos se pasó a TJ-08
GSB-020,Giant Sea Bass,SG-EN-170527-01,EN-10,Fish Market,Ensenada,27/05/2017,NA,NA,NA,NA,NA,60,Ensenada,Mercado Negro,NA,NA,Guerrero Negro,28.029533,-114.339297,NA,NA,NA,110,NA,195,NA,50,50,NO,YES,NO,NA,NA,NA,YES,HEAD,Paula Sgarlatta,Paula Sgarlatta,YES,NA
GSB-021,Giant Sea Bass,SG-EN-170527-02,EN-11,Fish Market,Ensenada,27/05/2017,NA,NA,NA,NA,NA,110,Ensenada,Mercado Negro,NA,NA,Guerrero Negro,28.029533,-114.339297,NA,NA,NA,30.8,NA,123,NA,33,26,YES,YES,YES,NA,NA,NA,YES,YES,Paula Sgarlatta,Paula Sgarlatta,YES,CHECAR CON EN-02
GSB-022,Giant Sea Bass,SG-EN-170527-03,EN-12,Fish Market,Ensenada,27/05/2017,NA,NA,NA,NA,NA,110,Ensenada,Mercado Negro,NA,NA,Guerrero Negro,28.029533,-114.339297,NA,NA,NA,78,NA,170,NA,NA,NA,NO,YES,NO,NA,NA,NA,YES,NO,Paula Sgarlatta,Paula Sgarlatta,YES,NA
GSB-023,Giant Sea Bass,SG-EN-170529-01,EN-13,Fish Market,Ensenada,29/05/2017,NA,NA,NA,NA,NA,60,Ensenada,Mercado Negro,NA,NA,Guerrero Negro,28.029533,-114.339297,NA,NA,NA,NA,NA,NA,NA,NA,NA,YES,NA,NO,NA,NA,NA,NO,HEAD,Paula Sgarlatta,Paula Sgarlatta,NO,NA
GSB-024,Giant Sea Bass,SG-EN-170529-02,EN-14,Fish Market,Ensenada,29/05/2017,NA,NA,NA,NA,NA,60,Ensenada,Mercado Negro,NA,NA,Guerrero Negro,28.029533,-114.339297,NA,NA,NA,NA,NA,NA,NA,NA,NA,YES,NA,NO,NA,NA,NA,NO,HEAD,Paula Sgarlatta,Paula Sgarlatta,NO,NA
GSB-025,Giant Sea Bass,SG-EN-170529-03,EN-15,Fish Market,Ensenada,29/05/2017,NA,NA,NA,NA,NA,60,Ensenada,Mercado Negro,NA,NA,Guerrero Negro,28.029533,-114.339297,NA,NA,NA,NA,NA,NA,NA,NA,NA,YES,NA,NO,NA,NA,NA,NO,HEAD,Paula Sgarlatta,Paula Sgarlatta,NO,NA
GSB-026,Giant Sea Bass,SG-BM-170529-01,BM-01,Campo Pesquero,Bahia Magdalena (Lopez Mateos),29/05/2017,PENAIENTE,Reynaldo SaNAoval,López Mateos,25/05/2017,López Mateos,PENAIENTE,López Mateos,NA,NA,NA,Bahia Magdalena (Lopez Mateos),PENAIENTE,PENAIENTE,Reynaldo SaNAoval,NA,NA,58,NA,155,NA,NA,NA,NO,NO,NO,NA,Female,NO,NO,NO,Arturo,Arturo,NA,NA
GSB-027,Giant Sea Bass,SG-BM-170529-02,BM-02,Campo Pesquero,Bahia Magdalena (Lopez Mateos),29/05/2017,PENAIENTE,Reynaldo SaNAoval,López Mateos,25/05/2017,López Mateos,PENAIENTE,López Mateos,NA,NA,NA,Bahia Magdalena (Lopez Mateos),PENAIENTE,PENAIENTE,Reynaldo SaNAoval,NA,NA,37,NA,138,NA,NA,NA,NO,NO,NO,NA,Male,NO,NO,NO,Arturo,Arturo,NA,NA
GSB-028,Giant Sea Bass,SG-EN-170602-01,EN-16,Fish Market,Ensenada,02/06/2017,NA,NA,NA,NA,NA,115,Guerrero Negro,Mercado Negro,NA,NA,Guerrero Negro,NA,NA,NA,NA,NA,147,NA,197,NA,53,50,NO,YES,NO,NA,NA,NA,YES,NO,Paula Sgarlatta,Paula Sgarlatta,YES,NA
GSB-029,Giant Sea Bass,SG-EN-170602-02,EN-17,Fish Market,Ensenada,02/06/2017,NA,NA,NA,NA,NA,115,Guerrero Negro,Mercado Negro,NA,NA,Guerrero Negro,NA,NA,NA,NA,NA,44,NA,132,NA,32,28,YES,YES,NO,NA,NA,NA,YES,YES,Paula Sgarlatta,Paula Sgarlatta,YES,NA
GSB-030,Giant Sea Bass,SG-EN-170602-03,EN-18,Fish Market,Ensenada,02/06/2017,NA,NA,NA,NA,NA,115,Guerrero Negro,Mercado Negro,NA,NA,Guerrero Negro,NA,NA,NA,NA,NA,44,NA,134,NA,43,38,NO,YES,NO,NA,NA,NA,YES,NO,Paula Sgarlatta,Paula Sgarlatta,YES,NA
GSB-031,Giant Sea Bass,SG-EN-170602-04,EN-19,Fish Market,Ensenada,02/06/2017,NA,NA,NA,NA,NA,115,Guerrero Negro,Mercado Negro,NA,NA,Guerrero Negro,NA,NA,NA,NA,NA,117,NA,192,NA,63,40,NO,YES,NO,NA,NA,NA,YES,NO,Paula Sgarlatta,Paula Sgarlatta,YES,NA
GSB-032,Giant Sea Bass,SG-EN-170602-05,EN-20,Fish Market,Ensenada,02/06/2017,NA,NA,NA,NA,NA,115,Guerrero Negro,Mercado Negro,NA,NA,Guerrero Negro,NA,NA,NA,NA,NA,120,NA,182,NA,55,30,NO,YES,NO,NA,NA,NA,YES,NO,Paula Sgarlatta,Paula Sgarlatta,YES,NA
GSB-033,Giant Sea Bass,SG-EN-170606-01,EN-21,Fish Market,Ensenada,06/06/2017,NA,NA,NA,NA,NA,60,PENAIENTE,Mercado Negro,NA,NA,NA,NA,NA,NA,NA,NA,117,NA,195,NA,NA,NA,YES,YES,NO,NA,NA,NA,YES,HEAD,Paula Sgarlatta/Ricardo Dominguez,Paula Sgarlatta Y Ricardo Dominguez,YES,NA
GSB-034,Giant Sea Bass,SG-EN-170610-01,EN-22,Fish Market,Ensenada,10/06/2017,NA,NA,NA,NA,NA,120,Ensenada,Mercado Negro,NA,NA,Guerrero Negro,NA,NA,NA,NA,NA,9,NA,87,NA,23,NA,YES,YES,NO,NA,NA,NA,YES,YES,Arturo,Arturo,YES,NA
GSB-035,Giant Sea Bass,SG-EN-170610-02,EN-23,Fish Market,Ensenada,10/06/2017,NA,NA,NA,NA,NA,120,Ensenada,Mercado Negro,NA,NA,Guerrero Negro,NA,NA,NA,NA,NA,32,NA,127,NA,33,28,YES,YES,NO,NA,NA,NA,NO,YES,Arturo,Arturo,YES,NA
GSB-036,Giant Sea Bass,SG-EN-170610-03,EN-24,Fish Market,Ensenada,10/06/2017,NA,NA,NA,NA,NA,120,Ensenada,Mercado Negro,NA,NA,Guerrero Negro,NA,NA,NA,NA,NA,48,NA,144,NA,39,32,YES,YES,NO,NA,NA,NA,NO,YES,Arturo,Arturo,YES,NA
GSB-037,Giant Sea Bass,SG-EN-170610-04,EN-25,Fish Market,Ensenada,10/06/2017,NA,NA,NA,NA,NA,120,Ensenada,Mercado Negro,NA,NA,Guerrero Negro,NA,NA,NA,NA,NA,43,NA,140,NA,38,29,YES,YES,NO,NA,NA,NA,NO,YES,Arturo,Arturo,YES,NA
GSB-038,Giant Sea Bass,SG-EN-170610-05,EN-26,Fish Market,Ensenada,10/06/2017,NA,NA,NA,NA,NA,120,Ensenada,Mercado Negro,NA,NA,Guerrero Negro,NA,NA,NA,NA,NA,11.8,NA,90,NA,21,NA,YES,YES,NO,NA,NA,NA,YES,YES,Arturo,Arturo,YES,NA
